Size,ArrayType,Algorithm,K,Time_us
5800,Random,HybridMergeInsertionSort,10,2003
5800,Random,HybridMergeInsertionSort,15,1730
5800,Random,HybridMergeInsertionSort,20,1743
5800,Random,HybridMergeInsertionSort,30,1607
5800,Random,HybridMergeInsertionSort,50,1640
5900,Random,StandardMergeSort,0,3724
5900,Random,HybridMergeInsertionSort,5,2341
5900,Random,HybridMergeInsertionSort,10,2062
5900,Random,HybridMergeInsertionSort,15,1753
5900,Random,HybridMergeInsertionSort,20,1754
5900,Random,HybridMergeInsertionSort,30,1639
5900,Random,HybridMergeInsertionSort,50,1679
6000,Random,StandardMergeSort,0,5050
6000,Random,HybridMergeInsertionSort,5,2438
6000,Random,HybridMergeInsertionSort,10,2055
6000,Random,HybridMergeInsertionSort,15,1785
6000,Random,HybridMergeInsertionSort,20,1835
6000,Random,HybridMergeInsertionSort,30,1663
6000,Random,HybridMergeInsertionSort,50,1790
6100,Random,StandardMergeSort,0,3867
6100,Random,HybridMergeInsertionSort,5,2492
6100,Random,HybridMergeInsertionSort,10,2069
6100,Random,HybridMergeInsertionSort,15,1811
6100,Random,HybridMergeInsertionSort,20,1808
6100,Random,HybridMergeInsertionSort,30,1690
6100,Random,HybridMergeInsertionSort,50,1749
6200,Random,StandardMergeSort,0,3948
6200,Random,HybridMergeInsertionSort,5,2537
6200,Random,HybridMergeInsertionSort,10,2159
6200,Random,HybridMergeInsertionSort,15,1858
6200,Random,HybridMergeInsertionSort,20,1852
6200,Random,HybridMergeInsertionSort,30,1729
6200,Random,HybridMergeInsertionSort,50,1782
6300,Random,StandardMergeSort,0,4016
6300,Random,HybridMergeInsertionSort,5,2619
6300,Random,HybridMergeInsertionSort,10,2140
6300,Random,HybridMergeInsertionSort,15,1951
6300,Random,HybridMergeInsertionSort,20,1879
6300,Random,HybridMergeInsertionSort,30,1757
6300,Random,HybridMergeInsertionSort,50,1813
6400,Random,StandardMergeSort,0,4128
6400,Random,HybridMergeInsertionSort,5,2604
6400,Random,HybridMergeInsertionSort,10,2170
6400,Random,HybridMergeInsertionSort,15,1896
6400,Random,HybridMergeInsertionSort,20,1910
6400,Random,HybridMergeInsertionSort,30,1787
6400,Random,HybridMergeInsertionSort,50,1856
6500,Random,StandardMergeSort,0,4160
6500,Random,HybridMergeInsertionSort,5,2650
6500,Random,HybridMergeInsertionSort,10,2193
6500,Random,HybridMergeInsertionSort,15,1928
6500,Random,HybridMergeInsertionSort,20,1927
6500,Random,HybridMergeInsertionSort,30,1821
6500,Random,HybridMergeInsertionSort,50,1838
6600,Random,StandardMergeSort,0,4224
6600,Random,HybridMergeInsertionSort,5,2703
6600,Random,HybridMergeInsertionSort,10,2223
6600,Random,HybridMergeInsertionSort,15,1960
6600,Random,HybridMergeInsertionSort,20,1957
6600,Random,HybridMergeInsertionSort,30,1846
6600,Random,HybridMergeInsertionSort,50,1843
6700,Random,StandardMergeSort,0,4300
6700,Random,HybridMergeInsertionSort,5,2734
6700,Random,HybridMergeInsertionSort,10,2259
6700,Random,HybridMergeInsertionSort,15,1993
6700,Random,HybridMergeInsertionSort,20,2031
6700,Random,HybridMergeInsertionSort,30,1907
6700,Random,HybridMergeInsertionSort,50,1886
6800,Random,StandardMergeSort,0,4367
6800,Random,HybridMergeInsertionSort,5,2736
6800,Random,HybridMergeInsertionSort,10,2292
6800,Random,HybridMergeInsertionSort,15,2025
6800,Random,HybridMergeInsertionSort,20,2025
6800,Random,HybridMergeInsertionSort,30,1917
6800,Random,HybridMergeInsertionSort,50,1910
6900,Random,StandardMergeSort,0,4426
6900,Random,HybridMergeInsertionSort,5,2771
6900,Random,HybridMergeInsertionSort,10,2323
6900,Random,HybridMergeInsertionSort,15,2059
6900,Random,HybridMergeInsertionSort,20,2051
6900,Random,HybridMergeInsertionSort,30,1941
6900,Random,HybridMergeInsertionSort,50,1941
7000,Random,StandardMergeSort,0,4494
7000,Random,HybridMergeInsertionSort,5,2792
7000,Random,HybridMergeInsertionSort,10,2348
7000,Random,HybridMergeInsertionSort,15,2089
7000,Random,HybridMergeInsertionSort,20,2080
7000,Random,HybridMergeInsertionSort,30,1970
7000,Random,HybridMergeInsertionSort,50,1972
7100,Random,StandardMergeSort,0,4568
7100,Random,HybridMergeInsertionSort,5,2821
7100,Random,HybridMergeInsertionSort,10,2369
7100,Random,HybridMergeInsertionSort,15,2112
7100,Random,HybridMergeInsertionSort,20,2117
7100,Random,HybridMergeInsertionSort,30,2011
7100,Random,HybridMergeInsertionSort,50,2003
7200,Random,StandardMergeSort,0,4634
7200,Random,HybridMergeInsertionSort,5,2850
7200,Random,HybridMergeInsertionSort,10,2395
7200,Random,HybridMergeInsertionSort,15,2139
7200,Random,HybridMergeInsertionSort,20,2155
7200,Random,HybridMergeInsertionSort,30,2032
7200,Random,HybridMergeInsertionSort,50,2035
7300,Random,StandardMergeSort,0,4686
7300,Random,HybridMergeInsertionSort,5,2881
7300,Random,HybridMergeInsertionSort,10,2433
7300,Random,HybridMergeInsertionSort,15,2166
7300,Random,HybridMergeInsertionSort,20,2169
7300,Random,HybridMergeInsertionSort,30,2068
7300,Random,HybridMergeInsertionSort,50,2067
7400,Random,StandardMergeSort,0,4753
7400,Random,HybridMergeInsertionSort,5,2914
7400,Random,HybridMergeInsertionSort,10,2465
7400,Random,HybridMergeInsertionSort,15,2205
7400,Random,HybridMergeInsertionSort,20,2193
7400,Random,HybridMergeInsertionSort,30,2098
7400,Random,HybridMergeInsertionSort,50,2094
7500,Random,StandardMergeSort,0,4809
7500,Random,HybridMergeInsertionSort,5,2951
7500,Random,HybridMergeInsertionSort,10,2494
7500,Random,HybridMergeInsertionSort,15,2227
7500,Random,HybridMergeInsertionSort,20,2225
7500,Random,HybridMergeInsertionSort,30,2133
7500,Random,HybridMergeInsertionSort,50,2133
7600,Random,StandardMergeSort,0,4878
7600,Random,HybridMergeInsertionSort,5,2988
7600,Random,HybridMergeInsertionSort,10,2525
7600,Random,HybridMergeInsertionSort,15,2257
7600,Random,HybridMergeInsertionSort,20,2312
7600,Random,HybridMergeInsertionSort,30,2198
7600,Random,HybridMergeInsertionSort,50,2191
7700,Random,StandardMergeSort,0,4981
7700,Random,HybridMergeInsertionSort,5,3018
7700,Random,HybridMergeInsertionSort,10,2588
7700,Random,HybridMergeInsertionSort,15,2298
7700,Random,HybridMergeInsertionSort,20,2288
7700,Random,HybridMergeInsertionSort,30,2206
7700,Random,HybridMergeInsertionSort,50,2228
7800,Random,StandardMergeSort,0,5014
7800,Random,HybridMergeInsertionSort,5,3073
7800,Random,HybridMergeInsertionSort,10,2575
7800,Random,HybridMergeInsertionSort,15,2374
7800,Random,HybridMergeInsertionSort,20,2328
7800,Random,HybridMergeInsertionSort,30,2263
7800,Random,HybridMergeInsertionSort,50,2226
7900,Random,StandardMergeSort,0,5089
7900,Random,HybridMergeInsertionSort,5,3069
7900,Random,HybridMergeInsertionSort,10,2614
7900,Random,HybridMergeInsertionSort,15,2453
7900,Random,HybridMergeInsertionSort,20,2334
7900,Random,HybridMergeInsertionSort,30,2323
7900,Random,HybridMergeInsertionSort,50,2306
8000,Random,StandardMergeSort,0,5125
8000,Random,HybridMergeInsertionSort,5,3098
8000,Random,HybridMergeInsertionSort,10,2637
8000,Random,HybridMergeInsertionSort,15,2557
8000,Random,HybridMergeInsertionSort,20,2369
8000,Random,HybridMergeInsertionSort,30,2388
8000,Random,HybridMergeInsertionSort,50,2300
8100,Random,StandardMergeSort,0,5187
8100,Random,HybridMergeInsertionSort,5,3126
8100,Random,HybridMergeInsertionSort,10,2666
8100,Random,HybridMergeInsertionSort,15,2622
8100,Random,HybridMergeInsertionSort,20,2407
8100,Random,HybridMergeInsertionSort,30,2407
8100,Random,HybridMergeInsertionSort,50,2329
8200,Random,StandardMergeSort,0,5240
8200,Random,HybridMergeInsertionSort,5,3148
8200,Random,HybridMergeInsertionSort,10,2696
8200,Random,HybridMergeInsertionSort,15,2726
8200,Random,HybridMergeInsertionSort,20,2430
8200,Random,HybridMergeInsertionSort,30,2437
8200,Random,HybridMergeInsertionSort,50,2357
8300,Random,StandardMergeSort,0,5401
8300,Random,HybridMergeInsertionSort,5,3201
8300,Random,HybridMergeInsertionSort,10,2727
8300,Random,HybridMergeInsertionSort,15,2726
8300,Random,HybridMergeInsertionSort,20,2464
8300,Random,HybridMergeInsertionSort,30,2470
8300,Random,HybridMergeInsertionSort,50,2395
8400,Random,StandardMergeSort,0,5410
8400,Random,HybridMergeInsertionSort,5,3246
8400,Random,HybridMergeInsertionSort,10,2762
8400,Random,HybridMergeInsertionSort,15,2766
8400,Random,HybridMergeInsertionSort,20,2495
